what,kind,bundleId,bundleVersion,description,time
java.vm.specification.version,sysinfo,,,"1.7",1444500992467
java.vm.vendor,sysinfo,,,"Oracle Corporation",1444500992467
java.vm.version,sysinfo,,,"24.65-b04",1444500992467
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1444500994462
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1444500995243
started,bundle,org.eclipse.cdt.cross.arm.gnu,0.5.5.201309281715,"org.eclipse.cdt.cross.arm.gnu",1444500995244
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1444500995442
started,bundle,org.eclipse.debug.core,3.7.1.v20111129-2031,"org.eclipse.debug.core",1444500995559
started,bundle,org.eclipse.cdt.msw.build,1.0.0.201202111925,"org.eclipse.cdt.msw.build",1444500995835
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1444500996415
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1444500998616
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1444500998624
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444501004461
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1444501011922
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444501068131
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1444501068174
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1444501068175
error,log,,,"Failed to import D:\\Discovery\\TSOP32\\stm32_ld_vl\\Configuration_ST-link.launch.",1444501068393
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444501068481
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444501106158
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1444501111282
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1444501111284
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444501128272
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20111007_r372,"org.eclipse.ui.externaltools",1444501139762
